Query,Impressions,Position,Type,Action
coppell tx water line repair,8,1,"Page 1 — protect","Strengthen pipe-repair page content. Do not disrupt structure."
pipe breaks dallas tx,6,1,"Page 1 — protect","Strengthen pipe-repair page. Add pipe break emergency messaging."
dallas tx water line repair,7,1.86,"Page 1 — protect","Add Dallas-specific water line repair mentions to pipe-repair page."
dallas sewer line repair companies reviews,6,4,"Page 1 — protect","Add review/trust signals to pipe-repair page"
top rated sewer line repair dallas texas,3,4.33,"Page 1 — protect","Add trust signals and credentials to pipe-repair page"
best sewer line repair companies in dallas,2,5,"Page 1 — protect","Same as above — sewer line repair cluster"
find me a plumber,5,9.8,"Almost page 1","Optimize /services/plumbing or homepage for this intent"
emergency plumbing services,4,9.75,"Almost page 1","Target with /services/plumbing page content"
local plumbers,37,10.92,"Highest-value — almost page 1","Ensure homepage targets this keyword in title and H1"
emergency plumbing,6,12.5,"Quick win","Target with /services/plumbing page"
plumbing services,3,13.33,"Quick win","Target with /services/plumbing page"
emergency plumber,6,14,"Quick win","Add 'emergency plumber' to /services/plumbing title and content"
plumber service,2,15,"Quick win","Target with /services/plumbing page"
plumbing repair near me,20,15.95,"High volume — page 2","Strengthen /services/plumbing with local signals"
plumbing repair,21,16.05,"High volume — page 2","Include 'plumbing repair' in /services/plumbing title"
same day plumber,2,16,"Quick win","Add same-day service messaging"
need a plumber,14,16.57,"High volume — page 2","Add 'Need a plumber?' messaging to homepage"
plumber,14,16.57,"Generic high-value","Optimize homepage for generic 'plumber' + DFW"
24 7 plumber near me,6,17.33,"Quick win","Add 24/7 availability messaging to /services/plumbing"
on call plumbing,8,18.25,"Quick win","Add on-call/after-hours messaging"
emergency plumbing services near me,5,18.8,"Quick win","Target with /services/plumbing"
plumbing company,3,18.67,"Quick win","Target with homepage"
i need a plumber,13,19.62,"High volume — push to page 1","Strong intent signal. Target with homepage CTA"
plumbing service,4,19.5,"Quick win","Target with /services/plumbing"
carrollton plumbing service,54,65.2,"Highest single query — location page","Optimize Carrollton page title and H1 for this exact phrase"
carrollton plumbing,38,54.13,"High volume location","Optimize Carrollton page content"
mansfield tx plumbing,33,47,"High volume location","Optimize Mansfield page for this query cluster"
plumber richardson texas,20,51.75,"High volume location","Optimize Richardson page title and content"
plumber mckinney,16,77.12,"High volume location","Optimize McKinney page title and content"
plumber in denton,14,41.79,"Best Denton position","Optimize Denton page for this query"
furnace repair farmers branch,12,80.08,"HVAC cluster leader","Add HVAC content to Farmers Branch location page"
heating repair farmers branch,11,69.09,"HVAC cluster","Add heating repair section to Farmers Branch page"
how to find main water shut off,5,73.2,"Question — AEO opportunity","Optimize pro-tips article with answer-first paragraph and FAQ schema"
